Ticker,Date,Open,High,Low,Close,Volume
QGMD,2023-01-10,1.3210,1.4440,1.3210,1.4300,20978672
QGMD,2023-01-11,1.4300,1.4560,1.4010,1.4080,3926730
QGMD,2023-01-12,1.3820,1.4100,1.3570,1.3780,1642178
QGMD,2023-01-15,1.3770,1.3770,1.3100,1.3100,2120217
QGMD,2023-01-16,1.3620,1.3620,1.2710,1.2790,3636947
QGMD,2023-01-17,1.2670,1.2970,1.2450,1.2500,2933772
QGMD,2023-01-18,1.2510,1.2880,1.2450,1.2530,1646759
QGMD,2023-01-19,1.2530,1.2760,1.2310,1.2570,2150051
QGMD,2023-01-22,1.2620,1.2780,1.2450,1.2520,5526734
QGMD,2023-01-23,1.2540,1.3100,1.2270,1.3050,9997285
QGMD,2023-01-24,1.3060,1.3280,1.2900,1.2980,5796466
QGMD,2023-01-25,1.2930,1.3550,1.2930,1.3490,12851734
QGMD,2023-01-26,1.3400,1.3410,1.3110,1.3130,1133672
QGMD,2023-01-29,1.3140,1.3400,1.3060,1.3200,1046778
QGMD,2023-01-30,1.2840,1.3200,1.2610,1.2640,8250053
QGMD,2023-01-31,1.2600,1.2670,1.2320,1.2340,3488490
QGMD,2023-02-01,1.2350,1.2650,1.2200,1.2220,1366233
QGMD,2023-02-02,1.2350,1.2690,1.2200,1.2500,3665443
QGMD,2023-02-05,1.2500,1.2500,1.2230,1.2390,1486641
QGMD,2023-02-06,1.2390,1.2890,1.2310,1.2750,3730999
QGMD,2023-02-07,1.2880,1.2880,1.2400,1.2400,2321527
QGMD,2023-02-08,1.2350,1.2490,1.2090,1.2160,8006241
QGMD,2023-02-09,1.2100,1.2100,1.1430,1.1550,5818495
QGMD,2023-02-12,1.1350,1.1420,1.0980,1.1010,2878275
QGMD,2023-02-13,1.0710,1.1070,0.9910,0.9910,7500021
QGMD,2023-02-15,0.9980,0.9980,0.8920,0.9050,6467540
QGMD,2023-02-16,0.9050,0.9940,0.8670,0.9640,7473619
QGMD,2023-02-19,0.9680,1.0230,0.9650,0.9850,9010590
QGMD,2023-02-20,0.9870,1.0190,0.9620,1.0020,11362127
QGMD,2023-02-21,1.0100,1.0190,0.9780,0.9970,3034511
QGMD,2023-02-22,0.9800,0.9800,0.9600,0.9600,2758806
QGMD,2023-02-23,0.9600,0.9710,0.9050,0.9500,4746819
QGMD,2023-02-26,0.9490,0.9870,0.9330,0.9750,4595841
QGMD,2023-02-27,0.9770,1.0530,0.9770,1.0040,14237366
